sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
L,0.6,0.6,5.19994,0,0.312243,0.58034,0.438791,0.239713,0.287757,0.0196602,4.76115,0.239713
R,0.859997,0.600045,5.19975,0.00179686,0.114739,0.987955,0.438791,0.239713,0.564896,0.274646,4.76105,0.238816
L,1.11998,0.600225,5.19943,0.00538996,0.789566,0.503103,1.451,0.912404,0.499129,0.231152,4.44919,0.55879
R,1.37996,0.600629,5.19898,0.0107781,0.832066,0.531676,1.4518,0.911116,0.511755,0.203131,4.28449,0.660936
L,1.6399,0.601347,5.19839,0.0179597,1.33607,0.612297,3.22626,-0.499226,0.47747,0.181752,3.93234,0.634796
R,1.89982,0.60247,5.19766,0.0269323,1.43684,0.599008,3.22266,-0.521965,0.475086,0.165922,3.67916,0.621305
L,2.1597,0.604086,5.19678,0.0376932,1.92733,0.641873,4.61537,0.313508,0.448528,0.154276,3.41332,0.584587
R,2.41954,0.606284,5.19573,0.0502389,2.12287,0.654137,4.61639,0.298042,0.432471,0.145301,3.19943,0.553805
L,2.67932,0.609155,5.1945,0.0645654,2.50982,0.662344,5.24239,0.22476,0.411634,0.138133,3.01649,0.524856
R,2.93904,0.612786,5.19309,0.080668,2.76106,0.672131,5.24329,0.202661,0.394545,0.132382,2.86174,0.499414
L,3.19869,0.617267,5.19147,0.0985415,3.01196,0.647171,5.24924,-0.014236,0.380374,0.126543,2.72862,0.477385
R,3.45825,0.622685,5.18963,0.11818,3.26864,0.645465,5.24905,-0.0469309,0.368271,0.121334,2.61251,0.45954
L,3.71772,0.62913,5.18754,0.139576,3.70327,0.409535,5.54781,-1.42467,0.353846,0.131525,2.51201,0.618993
R,3.97708,0.636689,5.18519,0.162724,3.97406,0.335725,5.50451,-1.58377,0.340976,0.15011,2.42213,0.757403
L,4.23632,0.645449,5.18256,0.187614,4.28436,0.478011,5.73258,-0.460064,0.329647,0.151327,2.34431,0.750587
R,4.49542,0.655498,5.17962,0.214238,4.56567,0.45516,5.73225,-0.464105,0.319662,0.154846,2.27407,0.746277
L,4.75437,0.666921,5.17634,0.242587,4.65663,0.735563,5.17867,1.00024,0.311023,0.151142,2.20617,0.746951
R,5.01315,0.679804,5.1727,0.272649,4.91082,0.788588,5.14546,1.15905,0.303221,0.149105,2.14402,0.755374
L,5.27175,0.694234,5.16867,0.304413,5.30061,0.711645,5.4927,0.63957,0.295208,0.145183,2.08816,0.739237
R,5.53013,0.710295,5.16422,0.337868,5.57153,0.745288,5.48219,0.724094,0.287882,0.141723,2.03653,0.725676
L,5.78828,0.728072,5.15932,0.372999,5.90706,0.729929,5.60764,0.543018,0.282137,0.138308,1.98986,0.709159
R,6.04618,0.747647,5.15393,0.409793,6.1846,0.758289,5.60176,0.600679,0.277226,0.135147,1.94645,0.694048
L,6.30379,0.769103,5.14803,0.448233,6.41732,0.891044,5.47338,1.09996,0.272163,0.1346,1.90487,0.692262
R,6.5611,0.792523,5.14157,0.488305,6.68853,0.948095,5.45318,1.19611,0.267699,0.135539,1.86585,0.692917
L,6.81808,0.817988,5.13452,0.52999,6.91619,0.846001,5.44766,0.671485,0.263024,0.132918,1.82923,0.679506
R,7.07469,0.845578,5.12685,0.573269,7.18695,0.88063,5.44163,0.718652,0.258854,0.130518,1.79476,0.666921
L,7.3309,0.875373,5.11851,0.618123,7.36338,0.9505,5.30056,0.896189,0.254092,0.128892,1.76156,0.656638
R,7.58668,0.907449,5.10946,0.664531,7.62705,0.996593,5.29064,0.953037,0.24963,0.127686,1.73016,0.647107
L,7.84199,0.941886,5.09966,0.712469,7.87836,0.881047,5.30416,0.492368,0.245381,0.125972,1.70049,0.637164
R,8.0968,0.978759,5.08907,0.761915,8.14264,0.906183,5.30206,0.514524,0.241402,0.124562,1.67236,0.628081
L,8.35106,1.01814,5.07766,0.812843,8.36861,0.891925,5.26003,0.425248,0.237497,0.124616,1.64549,0.621777
R,8.60472,1.06011,5.06537,0.865226,8.63088,0.913548,5.25878,0.440474,0.233803,0.12536,1.61994,0.616573
L,8.85775,1.10473,5.05216,0.919037,8.85526,0.990962,5.21071,0.610811,0.230233,0.125024,1.59544,0.609526
R,9.1101,1.15208,5.03798,0.974245,9.11515,1.02207,5.20781,0.635088,0.226824,0.125174,1.57208,0.603306
L,9.36172,1.20223,5.0228,1.03082,9.34769,1.05444,5.1774,0.662212,0.223573,0.125876,1.54968,0.59788
R,9.61255,1.25524,5.00656,1.08873,9.606,1.08812,5.17422,0.686637,0.220448,0.127203,1.52826,0.593314
L,9.86254,1.31118,4.98922,1.14794,9.89788,1.25464,5.16888,1.02633,0.217527,0.125816,1.50775,0.585583
R,10.1117,1.37011,4.97074,1.20841,10.1557,1.30691,5.1607,1.0667,0.214764,0.124572,1.4881,0.578284
L,10.3598,1.4321,4.95106,1.2701,10.3765,1.40433,5.10262,1.2075,0.21201,0.123045,1.4691,0.57091
R,10.6069,1.49721,4.93014,1.33298,10.631,1.46576,5.09175,1.25255,0.209377,0.121599,1.45084,0.563872
L,10.853,1.56549,4.90794,1.39701,10.8561,1.50429,5.06391,1.24612,0.206809,0.120486,1.43325,0.557451
R,11.0979,1.637,4.8844,1.46213,11.1087,1.5676,5.05323,1.28876,0.204339,0.119524,1.41632,0.551424
L,11.3416,1.71179,4.85948,1.52832,11.4054,1.6193,5.08608,1.29786,0.202183,0.118965,1.40018,0.546106
R,11.584,1.78992,4.83313,1.59551,11.6591,1.68516,5.07548,1.33873,0.200193,0.118661,1.38466,0.541251
L,11.8251,1.87144,4.80531,1.66366,11.8874,1.7549,5.04263,1.38655,0.198174,0.118615,1.36965,0.536795
R,12.0647,1.95639,4.77598,1.73273,12.139,1.8252,5.03115,1.42764,0.196313,0.118902,1.3552,0.532831
L,12.3029,2.04482,4.74508,1.80265,12.3816,1.86092,5.02508,1.40092,0.194553,0.12065,1.34133,0.530379
R,12.5394,2.13677,4.71257,1.87338,12.6324,1.93187,5.01427,1.43915,0.192982,0.122996,1.328,0.528554
L,12.7743,2.23227,4.67842,1.94485,12.8248,2.07137,4.93148,1.60675,0.191139,0.123885,1.31487,0.525358
R,13.0075,2.33137,4.64258,2.01701,13.0708,2.15273,4.91715,1.6501,0.18943,0.125215,1.30224,0.52266
L,13.2388,2.43409,4.605,2.08981,13.2698,2.29943,4.83853,1.80974,0.187614,0.125407,1.28982,0.518994
R,13.4682,2.54047,4.56565,2.16317,13.5111,2.39105,4.82044,1.85739,0.185897,0.125912,1.27785,0.515726
L,13.6955,2.65053,4.52448,2.23703,13.7603,2.52477,4.79116,1.97001,0.18435,0.125909,1.26627,0.512152
R,13.9208,2.7643,4.48147,2.31134,13.9992,2.62445,4.77049,2.01956,0.182946,0.126181,1.2551,0.508939
L,14.1439,2.88179,4.43656,2.38601,14.2232,2.79227,4.70597,2.17813,0.181591,0.12561,1.24417,0.50507
R,14.3646,3.00303,4.38974,2.46099,14.4577,2.90243,4.6811,2.23109,0.180392,0.125207,1.23363,0.501482
L,14.583,3.12802,4.34097,2.5362,14.6575,2.99455,4.63813,2.25769,0.179075,0.125357,1.22339,0.49843
R,14.7989,3.25679,4.29021,2.61157,14.8886,3.10867,4.61257,2.30947,0.177914,0.125784,1.21354,0.495705
L,15.0122,3.38932,4.23744,2.68703,15.089,3.30959,4.51668,2.49659,0.176684,0.125145,1.20376,0.492111
R,15.2228,3.52563,4.18263,2.76249,15.314,3.43574,4.48538,2.55241,0.1756,0.124639,1.19432,0.488746
L,15.4306,3.66572,4.12575,2.83789,15.5209,3.63832,4.39639,2.72128,0.174538,0.123663,1.185,0.484953
R,15.6355,3.80957,4.06678,2.91315,15.7397,3.77578,4.35956,2.7799,0.173629,0.122737,1.17599,0.481324
L,15.8375,3.95719,4.00571,2.98817,15.9553,3.93769,4.30765,2.86964,0.172884,0.121783,1.16724,0.477722
R,16.0363,4.10854,3.94251,3.0629,16.1696,4.08256,4.26808,2.92818,0.172336,0.120872,1.1588,0.474274
L,16.2319,4.26363,3.87716,3.13723,16.3602,4.28949,4.16994,3.07558,0.171744,0.119981,1.15043,0.470674
R,16.4242,4.42242,3.80966,3.21109,16.5675,4.44469,4.12493,3.13569,0.171349,0.119101,1.14234,0.467187
L,16.613,4.5849,3.74,3.28438,16.7386,4.63161,4.02705,3.24409,0.170757,0.118346,1.13432,0.463713
R,16.7983,4.75103,3.66817,3.35704,16.9386,4.79523,3.97765,3.30448,0.170349,0.117595,1.12658,0.460335
L,16.9799,4.92077,3.59416,3.42897,17.0944,5.03304,3.83591,3.47037,0.16967,0.117519,1.11876,0.457014
R,17.1579,5.09409,3.51797,3.50008,17.2846,5.20801,3.77913,3.53212,0.169134,0.117469,1.11118,0.453754
L,17.3319,5.27094,3.4396,3.57028,17.4352,5.41076,3.66453,3.63535,0.168386,0.117813,1.10365,0.450614
R,17.5019,5.45128,3.35907,3.63949,17.6168,5.59395,3.60288,3.69646,0.16776,0.118194,1.09634,0.447524
L,17.6679,5.63506,3.27637,3.70762,17.8048,5.7447,3.57562,3.70987,0.167375,0.118081,1.08936,0.444448
R,17.8297,5.82221,3.19151,3.77458,17.9819,5.93154,3.51441,3.7679,0.167179,0.117967,1.08263,0.441435
L,17.9872,6.01269,3.10453,3.84027,18.1466,6.13447,3.43233,3.84391,0.167078,0.118019,1.07605,0.438483
R,18.1402,6.20641,3.01542,3.90462,18.3165,6.32797,3.36808,3.90033,0.167202,0.118066,1.06972,0.435589
L,18.2888,6.40332,2.92421,3.96753,18.4198,6.57484,3.19162,4.0346,0.166782,0.118914,1.06318,0.432819
R,18.4328,6.60333,2.83093,4.0289,18.5775,6.77786,3.11956,4.09057,0.166517,0.119791,1.05685,0.430092
L,18.572,6.80638,2.7356,4.08867,18.7102,6.95082,3.04278,4.116,0.166188,0.120134,1.05071,0.427372
R,18.7064,7.01237,2.63825,4.14672,18.8604,7.15783,2.96949,4.16919,0.166041,0.120484,1.04478,0.4247
L,18.8359,7.22122,2.53893,4.20299,19.0501,7.31896,2.98267,4.15474,0.16672,0.120229,1.03948,0.422104
R,18.9604,7.43283,2.43767,4.25737,19.1973,7.52782,2.91246,4.20425,0.167754,0.119954,1.03445,0.419564
L,19.0798,7.64712,2.3345,4.3098,19.2605,7.79047,2.70186,4.33158,0.167916,0.120263,1.02899,0.417035
R,19.1939,7.86397,2.22949,4.36017,19.3935,8.00814,2.6228,4.37991,0.168329,0.120575,1.02375,0.414551
L,19.3028,8.08329,2.12266,4.40842,19.4438,8.23894,2.42878,4.4592,0.168033,0.121047,1.01825,0.412142
R,19.4062,8.30497,2.01409,4.45445,19.563,8.46293,2.34277,4.50498,0.167907,0.12154,1.01293,0.409775
L,19.5042,8.5289,1.90381,4.49819,19.6312,8.64315,2.22023,4.51786,0.167493,0.121459,1.00767,0.407419
R,19.5966,8.75494,1.7919,4.53956,19.7399,8.86998,2.13185,4.56024,0.167238,0.121388,1.00258,0.405103
L,19.6835,8.983,1.67841,4.57848,19.8966,9.0501,2.14667,4.54415,0.167824,0.120913,0.998166,0.402838
R,19.7645,9.21294,1.56341,4.61488,20.0018,9.27815,2.06222,4.58309,0.168753,0.120436,0.993997,0.400607
L,19.8398,9.44463,1.44697,4.64869,20.1192,9.49586,2.00793,4.60561,0.170359,0.119893,0.990268,0.398426
R,19.9093,9.67795,1.32916,4.67984,20.2174,9.7269,1.92369,4.64142,0.172449,0.119349,0.98682,0.396275
L,19.9728,9.91275,1.21005,4.70826,20.2773,9.96158,1.7872,4.68493,0.174403,0.118813,0.983323,0.394146
R,20.0303,10.1489,1.08972,4.73389,20.3644,10.1965,1.69937,4.7175,0.176863,0.118282,0.980098,0.392047
L,20.0818,10.3863,0.968259,4.75666,20.375,10.457,1.48896,4.78041,0.178484,0.117881,0.976388,0.389986
R,20.1271,10.6247,0.845742,4.77652,20.447,10.6966,1.3942,4.8089,0.18053,0.117494,0.972901,0.387964
L,20.1663,10.864,0.722256,4.7934,20.4736,10.9577,1.22551,4.85595,0.182286,0.117273,0.969221,0.386011
R,20.1993,11.1041,0.597892,4.80727,20.5323,11.2009,1.1262,4.87994,0.184447,0.117082,0.965739,0.384107
L,20.2261,11.3449,0.472738,4.81807,20.5218,11.4457,0.924641,4.90602,0.185903,0.116929,0.961922,0.382264
R,20.2466,11.5861,0.346889,4.82575,20.5654,11.6913,0.819946,4.9246,0.187698,0.116818,0.958269,0.380476
L,20.2608,11.8275,0.220439,4.83027,20.6062,11.9379,0.718872,4.941,0.189902,0.116755,0.954802,0.378748
R,20.2687,12.0692,0.093487,4.83159,20.6395,12.1852,0.613654,4.95516,0.192504,0.116748,0.951505,0.377086
L,20.2701,12.3108,-0.0338694,4.82968,20.5733,12.457,0.345345,4.97932,0.193883,0.11707,0.947612,0.37554
R,20.2652,12.5522,-0.161529,4.82451,20.5878,12.706,0.232495,4.98587,0.195523,0.117478,0.943836,0.374065
L,20.254,12.7933,-0.28939,4.81605,20.5721,12.9503,0.0810019,4.98362,0.19705,0.117917,0.940026,0.372639
R,20.2363,13.0339,-0.417348,4.80428,20.5733,13.1993,-0.0336145,4.98417,0.198831,0.118454,0.936324,0.371288
L,20.2122,13.2738,-0.545298,4.78918,20.4738,13.422,-0.296894,4.94683,0.199509,0.118767,0.932248,0.369863
R,20.1818,13.5129,-0.673135,4.77072,20.4559,13.669,-0.417347,4.93812,0.200328,0.119168,0.928248,0.368499
L,20.1449,13.7509,-0.800753,4.74892,20.4028,13.9143,-0.585642,4.91801,0.20093,0.119648,0.92421,0.367162
R,20.1017,13.9878,-0.928043,4.72374,20.3704,14.1597,-0.707391,4.90198,0.20165,0.120225,0.92024,0.365885
L,20.0521,14.2233,-1.0549,4.69521,20.2741,14.398,-0.922953,4.85972,0.201843,0.120825,0.916171,0.364567
R,19.9962,14.4573,-1.18121,4.66331,20.2249,14.6402,-1.04725,4.83445,0.202098,0.12152,0.912159,0.363296
L,19.934,14.6897,-1.30687,4.62805,20.0611,14.8682,-1.34543,4.75186,0.201557,0.122141,0.908122,0.361873
R,19.8655,14.9202,-1.43177,4.58944,19.9906,15.1047,-1.4743,4.71347,0.201013,0.122826,0.904139,0.360469
L,19.7908,15.1486,-1.55581,4.54751,19.9425,15.323,-1.55472,4.67439,0.200637,0.123367,0.900199,0.359093
R,19.7099,15.3749,-1.67887,4.50226,19.8616,15.5555,-1.67984,4.6309,0.200266,0.123973,0.89631,0.357742
L,19.6229,15.5989,-1.80085,4.45372,19.8088,15.7584,-1.74929,4.58184,0.200148,0.124319,0.892485,0.356406
R,19.5298,15.8203,-1.92164,4.40193,19.7184,15.9861,-1.87032,4.53377,0.200053,0.124729,0.888707,0.355101
L,19.4307,16.039,-2.04114,4.3469,19.5763,16.1811,-2.06192,4.43457,0.199658,0.124885,0.884967,0.353697
R,19.3257,16.2549,-2.15925,4.28868,19.4703,16.4012,-2.1824,4.37653,0.199262,0.125078,0.881275,0.352311
L,19.2148,16.4679,-2.27586,4.22731,19.3138,16.5675,-2.3718,4.24771,0.19864,0.124889,0.877669,0.350857
R,19.0981,16.6777,-2.39087,4.16284,19.1923,16.7781,-2.49089,4.17898,0.198008,0.124708,0.874112,0.349419
L,18.9757,16.8841,-2.50418,4.0953,19.0422,16.962,-2.64331,4.07254,0.197293,0.124399,0.870641,0.348002
R,18.8477,17.0872,-2.61571,4.02476,18.9072,17.1636,-2.75919,3.99494,0.196568,0.124086,0.867219,0.346606
L,18.7142,17.2866,-2.72534,3.95127,18.7284,17.3568,-2.92651,3.88311,0.195785,0.123748,0.863931,0.345271
R,18.5752,17.4822,-2.83299,3.87489,18.5794,17.5486,-3.03873,3.79594,0.195006,0.123398,0.860691,0.34397
L,18.4309,17.674,-2.93858,3.79568,18.3334,17.6897,-3.27695,3.59175,0.19443,0.122919,0.857821,0.343091
R,18.2814,17.8617,-3.042,3.71372,18.1669,17.8667,-3.38568,3.48944,0.193933,0.122438,0.855004,0.342322
L,18.1268,18.0453,-3.14318,3.62906,18.0474,18.0532,-3.42249,3.43996,0.193307,0.121965,0.852038,0.341399
R,17.9671,18.2246,-3.24204,3.5418,17.8738,18.2225,-3.5241,3.33579,0.192736,0.121495,0.849115,0.340563
L,17.8026,18.3994,-3.3385,3.45199,17.7319,18.3721,-3.58121,3.2413,0.192098,0.121054,0.846134,0.33976
R,17.6334,18.5697,-3.43247,3.35973,17.5506,18.5314,-3.67611,3.13326,0.191505,0.120641,0.84319,0.339044
L,17.4595,18.7353,-3.5239,3.26509,17.3704,18.6899,-3.75995,3.0323,0.190939,0.120251,0.840263,0.33837
R,17.281,18.8962,-3.61271,3.16817,17.1803,18.8386,-3.84823,2.91945,0.190425,0.119904,0.837369,0.337789
L,17.0983,19.0521,-3.69883,3.06904,17.0199,18.9779,-3.89655,2.82505,0.189838,0.11963,0.834436,0.33719
R,16.9113,19.203,-3.78221,2.9678,16.8231,19.1162,-3.97793,2.70925,0.18929,0.119422,0.831531,0.336679
L,16.7201,19.3488,-3.86278,2.86455,16.5975,19.2064,-4.0909,2.51981,0.188889,0.119606,0.82872,0.336738
R,16.5251,19.4894,-3.9405,2.75938,16.3912,19.3292,-4.16497,2.39541,0.188548,0.119949,0.825933,0.336943
L,16.3262,19.6246,-4.01531,2.65237,16.2046,19.4848,-4.20451,2.33688,0.188152,0.120104,0.823113,0.336794
R,16.1237,19.7545,-4.08716,2.54364,15.9928,19.5984,-4.27152,2.21202,0.187805,0.120399,0.820316,0.336757
L,15.9176,19.8789,-4.15602,2.43329,15.8177,19.7519,-4.28775,2.17521,0.187327,0.120448,0.817478,0.336264
R,15.7082,19.9978,-4.22185,2.32141,15.6019,19.8575,-4.34817,2.05176,0.186879,0.120599,0.814663,0.335841
L,15.4956,20.111,-4.28461,2.2081,15.4087,20.0109,-4.37086,2.0188,0.186367,0.120468,0.811842,0.335039
R,15.2799,20.2185,-4.34427,2.09347,15.1889,20.1087,-4.4251,1.89694,0.185873,0.120397,0.809046,0.334275
L,15.0613,20.3203,-4.4008,1.97763,15.0243,20.2717,-4.41025,1.91056,0.185257,0.120049,0.806252,0.333167
R,14.84,20.4162,-4.4542,1.86068,14.8027,20.3642,-4.45918,1.79339,0.184647,0.119715,0.803486,0.332071
L,14.6161,20.5063,-4.50443,1.74272,14.6043,20.4941,-4.47439,1.75253,0.18402,0.119311,0.800752,0.33094
R,14.3897,20.5904,-4.55149,1.62386,14.3796,20.5788,-4.51794,1.63698,0.183399,0.118911,0.798047,0.329822
L,14.1611,20.6686,-4.59537,1.50421,14.1321,20.6353,-4.57935,1.47591,0.182798,0.118543,0.795366,0.328722
R,13.9304,20.7408,-4.63606,1.38386,13.9023,20.7061,-4.6163,1.35591,0.182202,0.118181,0.792712,0.327632
L,13.6977,20.807,-4.67357,1.26294,13.6361,20.7472,-4.68007,1.18097,0.181667,0.11789,0.790083,0.326613
R,13.4632,20.8671,-4.70789,1.14153,13.4014,20.8031,-4.70978,1.05627,0.181138,0.117616,0.787479,0.325611
L,13.2271,20.9211,-4.73904,1.01975,13.1553,20.8436,-4.74431,0.911514,0.180638,0.117398,0.784902,0.324663
R,12.9895,20.969,-4.76702,0.897694,12.9176,20.8859,-4.76697,0.784432,0.180144,0.117208,0.782349,0.323736
L,12.7506,21.0108,-4.79186,0.775469,12.7144,20.9673,-4.7597,0.744286,0.179586,0.116881,0.779826,0.322699
R,12.5106,21.0465,-4.81358,0.653175,12.4761,21.0013,-4.77744,0.620351,0.179031,0.116562,0.777328,0.321674
L,12.2695,21.0761,-4.83219,0.530912,12.2362,21.0492,-4.79282,0.527696,0.178479,0.11621,0.774854,0.320648
R,12.0276,21.0996,-4.84773,0.408778,11.9964,21.0724,-4.8048,0.404358,0.177931,0.115862,0.772406,0.319632
L,11.785,21.117,-4.86022,0.286869,11.7371,21.0265,-4.82187,0.17182,0.177411,0.11572,0.769979,0.318756
